Title-module__anchor--GmXUE href	Title-module__anchor--GmXUE	ReposListItem-module__Label_2--Z6b0K	Text__StyledText-sc-1klmep6-0	ReposListItem-module__Text_4--mkG7R	ReposListItem-module__Link_1--v5NDF	ReposListItem-module__Link_1--v5NDF href	ReposListItem-module__Link_1--v5NDF 2	ReposListItem-module__Link_1--v5NDF href 2	ReposListItem-module__Box_6--KXqca 3	ReposListItem-module__Link_1--v5NDF 3	ReposListItem-module__Link_1--v5NDF href 3
https://github.com/JuliaComputing/XML.jl	XML.jl	Public	Read and write XML in pure Julia	Julia	11	https://github.com/JuliaComputing/XML.jl/forks	93	https://github.com/JuliaComputing/XML.jl/stargazers	•	1	https://github.com/JuliaComputing/XML.jl/pulls
https://github.com/JuliaComputing/Cobweb.jl	Cobweb.jl	Public	🕸️ Cobble together web content in Julia	Julia	5	https://github.com/JuliaComputing/Cobweb.jl/forks	48	https://github.com/JuliaComputing/Cobweb.jl/stargazers	•	1	https://github.com/JuliaComputing/Cobweb.jl/pulls
https://github.com/JuliaComputing/ScoringEngineDash.jl	ScoringEngineDash.jl	Public	Mode exploration dashboard to accompany ScoringEngineDemo.jl	Julia	0	https://github.com/JuliaComputing/ScoringEngineDash.jl/forks	0	https://github.com/JuliaComputing/ScoringEngineDash.jl/stargazers	•	1	https://github.com/JuliaComputing/ScoringEngineDash.jl/pulls
https://github.com/JuliaComputing/ScoringEngineDemo.jl	ScoringEngineDemo.jl	Public	Demo of a scoring engine. From data wrangling to model serving on docker	HTML	4	https://github.com/JuliaComputing/ScoringEngineDemo.jl/forks	21	https://github.com/JuliaComputing/ScoringEngineDemo.jl/stargazers	•	1	https://github.com/JuliaComputing/ScoringEngineDemo.jl/pulls
https://github.com/JuliaComputing/WeaveReportsTutorial.jl	WeaveReportsTutorial.jl	Public	Tutorial for generating reports using Weave.jl	Julia	0	https://github.com/JuliaComputing/WeaveReportsTutorial.jl/forks	0	https://github.com/JuliaComputing/WeaveReportsTutorial.jl/stargazers	•	1	https://github.com/JuliaComputing/WeaveReportsTutorial.jl/pulls
https://github.com/JuliaComputing/GenieAppTutorial.jl	GenieAppTutorial.jl	Public	Tutorial for hosting a Genie app on JuliaHub	JavaScript	1	https://github.com/JuliaComputing/GenieAppTutorial.jl/forks	8	https://github.com/JuliaComputing/GenieAppTutorial.jl/stargazers	•	1	https://github.com/JuliaComputing/GenieAppTutorial.jl/pulls
https://github.com/JuliaComputing/SQLiteGraph.jl	SQLiteGraph.jl	Public	A lightweight SQLite-based Graph Database for Julia.	Julia	2	https://github.com/JuliaComputing/SQLiteGraph.jl/forks	31	https://github.com/JuliaComputing/SQLiteGraph.jl/stargazers	•	1	https://github.com/JuliaComputing/SQLiteGraph.jl/pulls
https://github.com/JuliaComputing/JuliaInXL.jl	JuliaInXL.jl	Public	Julia interface to JuliaInXL addin	Julia	5	https://github.com/JuliaComputing/JuliaInXL.jl/forks	14	https://github.com/JuliaComputing/JuliaInXL.jl/stargazers	•	2	https://github.com/JuliaComputing/JuliaInXL.jl/pulls
https://github.com/JuliaComputing/rootfs-images	rootfs-images	Public		Julia	0	https://github.com/JuliaComputing/rootfs-images/forks	2	https://github.com/JuliaComputing/rootfs-images/stargazers	•	1	https://github.com/JuliaComputing/rootfs-images/pulls
https://github.com/JuliaComputing/pluto-vscode	pluto-vscode	Public	Pluto inside a VS Code Webview, WIP	TypeScript	2	https://github.com/JuliaComputing/pluto-vscode/forks	102	https://github.com/JuliaComputing/pluto-vscode/stargazers	•	2	https://github.com/JuliaComputing/pluto-vscode/pulls
